Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
L3S360	(1, 1.9673704414587334)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.04798464491362764)	(6, 0.0)	(7, 0.0)	(8, 0.3838771593090211)	(9, 0.0)	(10, 0.0)	(15, 0.038387715930902115)	(20, 0.009596928982725529)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.019193857965451058)	(90, 0.09596928982725528)	(95, 0.038387715930902115)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.038387715930902115)	(120, 0.009596928982725529)	(125, 0.0)	(130, 0.05758157389635317)	(135, 0.04798464491362764)	(140, 0.038387715930902115)	(145, 0.0)	(150, 0.0)
L3S378	(1, 2.1435228331780056)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.4659832246039142)	(9, 0.0)	(10, 0.0)	(15, 0.037278657968313145)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.009319664492078286)	(145, 0.0)	(150, 0.0)
L4S112	(1, 0.20903781125115278)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.03811865969873963)	(90, 0.07869658776513988)	(95, 0.03442975714724869)	(100, 0.0)	(105, 0.015985244389794036)	(110, 0.033200122963418385)	(115, 0.044266830617891176)	(120, 0.022133415308945588)	(125, 0.014755610205963726)	(130, 0.060252075007685216)	(135, 0.06394097755917615)	(140, 0.04180756225023056)	(145, 0.023363049492775897)	(150, 0.040987806127677016)
L4S137	(1, 0.18629903656783947)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0053228296162239844)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0010645659232447968)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.004258263692979187)	(85, 0.07558418055038059)	(90, 0.13094160855911002)	(95, 0.06813221908766699)	(100, 0.0053228296162239844)	(105, 0.026614148081119924)	(110, 0.0670676531644222)	(115, 0.08729440570607334)	(120, 0.039388939160057486)	(125, 0.03300154362058871)	(130, 0.11497311971043808)	(135, 0.12881247671262042)	(140, 0.08516527385958375)	(145, 0.036195241390323096)	(150, 0.05855112577846383)
L4S63	(1, 0.21552979553795074)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.03495077765480282)	(9, 0.0)	(10, 0.0)	(15, 0.0046601036873070425)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.07339663307508591)	(90, 0.12349274771363662)	(95, 0.05359119240403099)	(100, 0.003495077765480282)	(105, 0.022135492514708453)	(110, 0.057086270169511275)	(115, 0.0652414516222986)	(120, 0.026795596202015496)	(125, 0.020970466592881692)	(130, 0.09553212558979438)	(135, 0.10834741072988872)	(140, 0.06757150346595212)	(145, 0.025630570280188735)	(150, 0.05242616648220423)
L5S104	(1, 1.2716763005780347)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.17341040462427745)	(9, 0.0)	(10, 0.0)	(15, 0.005780346820809248)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.005780346820809248)	(85, 0.06936416184971098)	(90, 0.11560693641618498)	(95, 0.05780346820809249)	(100, 0.011560693641618497)	(105, 0.03468208092485549)	(110, 0.10982658959537574)	(115, 0.09826589595375722)	(120, 0.06358381502890173)	(125, 0.05202312138728323)	(130, 0.11560693641618498)	(135, 0.12138728323699423)	(140, 0.09248554913294797)	(145, 0.05780346820809249)	(150, 0.07707129094412332)
L5S155	(1, 1.1240465676435167)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.04014452027298274)	(6, 0.0)	(7, 0.0)	(8, 0.2810116419108792)	(9, 0.0)	(10, 0.0)	(15, 0.03211561621838619)	(20, 0.0)	(25, 0.008028904054596548)	(30, 0.0)	(35, 0.02408671216378964)	(40, 0.008028904054596548)	(45, 0.03211561621838619)	(50, 0.04014452027298274)	(55, 0.04014452027298274)	(60, 0.04014452027298274)	(65, 0.04014452027298274)	(70, 0.04014452027298274)	(75, 0.04014452027298274)	(80, 0.04014452027298274)	(85, 0.08028904054596547)	(90, 0.07226013649136892)	(95, 0.056202328382175835)	(100, 0.0)	(105, 0.03211561621838619)	(110, 0.04817342432757928)	(115, 0.056202328382175835)	(120, 0.04014452027298274)	(125, 0.04014452027298274)	(130, 0.07226013649136892)	(135, 0.08028904054596547)	(140, 0.04817342432757928)	(145, 0.04014452027298274)	(150, 0.04014452027298274)
L5S174	(1, 1.4684813753581663)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.07163323782234957)	(9, 0.0)	(10, 0.0)	(15, 0.007163323782234957)	(20, 0.007163323782234957)	(25, 0.007163323782234957)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
L5S203	(1, 1.2183075403358576)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.03292723081988805)	(6, 0.0)	(7, 0.0)	(8, 0.23049061573921634)	(9, 0.0)	(10, 0.0)	(15, 0.01975633849193283)	(20, 0.00658544616397761)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.02634178465591044)	(90, 0.01975633849193283)	(95, 0.01317089232795522)	(100, 0.0)	(105, 0.0)	(110, 0.00658544616397761)	(115, 0.00658544616397761)	(120, 0.0)	(125, 0.0)	(130, 0.02634178465591044)	(135, 0.01975633849193283)	(140, 0.00658544616397761)	(145, 0.0)	(150, 0.0)
L5S222	(1, 1.3864306784660767)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.17699115044247787)	(9, 0.0)	(10, 0.0)	(15, 0.017699115044247787)	(20, 0.0471976401179941)	(25, 0.04129793510324484)	(30, 0.05309734513274337)	(35, 0.058997050147492625)	(40, 0.058997050147492625)	(45, 0.058997050147492625)	(50, 0.058997050147492625)	(55, 0.058997050147492625)	(60, 0.058997050147492625)	(65, 0.058997050147492625)	(70, 0.058997050147492625)	(75, 0.058997050147492625)	(80, 0.058997050147492625)	(85, 0.058997050147492625)	(90, 0.058997050147492625)	(95, 0.058997050147492625)	(100, 0.05309734513274337)	(105, 0.058997050147492625)	(110, 0.058997050147492625)	(115, 0.058997050147492625)	(120, 0.058997050147492625)	(125, 0.058997050147492625)	(130, 0.08259587020648967)	(135, 0.08849557522123894)	(140, 0.06489675516224189)	(145, 0.06489675516224189)	(150, 0.06882989183874139)
