	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.663256049156189	0.6937800645828247	0.6751285195350647	0.6657975316047668	0.654854953289032	0.6614542603492737	0.6761050820350647	0.6603344082832336	0.5002232789993286	0.624850869178772	0	0.2371114641427994	0.4284281730651855	0.5091556310653687	0.4836725890636444	0.5699408054351807	0.6718975305557251	0.5028592944145203	0.6500003337860107	0.2421217262744904	0.2043474614620209	0.7040318250656128	0.4776932001113892	0.4488137662410736	0.5170055031776428	0.5819003582000732	0.4492165744304657	0.8193030953407288	0.5161256790161133	0.5560014247894287	0.4127867817878723	0.3631863296031952	0.4182468354701996	0.692568302154541
L2S222	0.6543322801589966	0.693560004234314	0.6747692227363586	0.662906289100647	0.6460177898406982	0.6501340270042419	0.6760020852088928	0.6738455295562744	0.4387988746166229	0.5354116559028625	0.2371114641427994	0	0.3518471717834473	0.4229897856712341	0.4245567917823792	0.4536902010440826	0.6857631206512451	0.4525676965713501	0.5738645195960999	0.2218300700187683	0.1618908792734146	0.7059547901153564	0.406901627779007	0.3548816740512848	0.4331323504447937	0.4782794415950775	0.3906634151935577	0.7309340238571167	0.4231833517551422	0.4583914577960968	0.3502674400806427	0.358819454908371	0.3505182266235352	0.6155271530151367
L2S240	0.6814247369766235	0.7249021530151367	0.7053402662277222	0.6944614052772522	0.66734778881073	0.6705942153930664	0.7131402492523193	0.7124482393264771	0.4888227581977844	0.5314189195632935	0.4284281730651855	0.3518471717834473	0	0.4993351697921753	0.4301649928092957	0.3475809097290039	0.7228855490684509	0.5251214504241943	0.5513468980789185	0.2718351483345032	0.3536834418773651	0.7423309683799744	0.4440573751926422	0.2984901070594788	0.5253394842147827	0.2442687749862671	0.1212166994810104	0.5458402633666992	0.1449289321899414	0.2037776708602905	0.08005212247371674	0.2073040455579758	0.05872860550880432	0.4570038318634033
L2S309	0.7801293730735779	0.8241727948188782	0.8046798706054688	0.7921810746192932	0.7631723284721375	0.7779735922813416	0.8124198913574219	0.8067992925643921	0.3907896280288696	0.2746126055717468	0.5091556310653687	0.4229897856712341	0.4993351697921753	0	0.2089565843343735	0.4244899451732635	0.8202495574951172	0.454456090927124	0.2736140191555023	0.4471054971218109	0.4601910710334778	0.841833233833313	0.1456327885389328	0.2964088916778564	0.1860796511173248	0.4551231265068054	0.5042085647583008	0.8215088844299316	0.4567476212978363	0.6020775437355042	0.5381777882575989	0.5845434069633484	0.5242698788642883	0.8127427697181702
L2S357	0.7633654475212097	0.813255250453949	0.780434250831604	0.7682451605796814	0.7396076321601868	0.7602963447570801	0.7887237668037415	0.7880237102508545	0.2762439250946045	0.2905510663986206	0.4836725890636444	0.4245567917823792	0.4301649928092957	0.2089565843343735	0	0.390683650970459	0.7994828224182129	0.3209933638572693	0.2209421098232269	0.3769274950027466	0.4122517704963684	0.8210429549217224	0.1121169775724411	0.239228218793869	0.2190308123826981	0.400162547826767	0.4380715787410736	0.7837825417518616	0.3948577642440796	0.531417191028595	0.4670509397983551	0.5017525553703308	0.4549959003925323	0.7428526878356934
L2S382	0.7397276163101196	0.7818659543991089	0.7624363899230957	0.750992476940155	0.7214642763137817	0.7278811931610107	0.7712551951408386	0.7678526639938354	0.4929407238960266	0.4646552205085754	0.5699408054351807	0.4536902010440826	0.3475809097290039	0.4244899451732635	0.390683650970459	0	0.7795842885971069	0.5588071346282959	0.4914814233779907	0.3977805078029633	0.4902158379554749	0.8002273440361023	0.3847037255764008	0.2591476738452911	0.4570365846157074	0.2604013085365295	0.400726854801178	0.5533956289291382	0.2802398204803467	0.3118498623371124	0.4040564000606537	0.4958343207836151	0.3790040910243988	0.5156152248382568
L3S242	0.2074888199567795	0.1255105584859848	0.191994696855545	0.2063728272914886	0.2509848475456238	0.1815471798181534	0.1529801189899445	0.0588265061378479	0.8511177897453308	0.9021093249320984	0.6718975305557251	0.6857631206512451	0.7228855490684509	0.8202495574951172	0.7994828224182129	0.7795842885971069	0	0.8534500002861023	0.8876433372497559	0.6595568656921387	0.6537660360336304	0.163866251707077	0.8055666089057922	0.7513198852539062	0.8542155027389526	0.7876836061477661	0.7342762351036072	0.7755376696586609	0.7570962905883789	0.7402545213699341	0.7143028974533081	0.672788679599762	0.7025667428970337	0.7018479704856873
L3S294	0.8137684464454651	0.8619243502616882	0.8343299627304077	0.822192907333374	0.7935634255409241	0.8131735920906067	0.8422425389289856	0.8417257070541382	0.1321789920330048	0.3243213295936584	0.5028592944145203	0.4525676965713501	0.5251214504241943	0.454456090927124	0.3209933638572693	0.5588071346282959	0.8534500002861023	0	0.3210279047489166	0.4513297379016876	0.4293230772018433	0.8723159432411194	0.3651714622974396	0.4315054416656494	0.3889933824539185	0.5802667140960693	0.5896417498588562	0.9093106389045715	0.5553799271583557	0.6311450004577637	0.5548831820487976	0.5533047318458557	0.5443521738052368	0.8287781476974487
L3S313	0.8472793102264404	0.8914487361907959	0.8709016442298889	0.8595253229141235	0.8303496837615967	0.8457975387573242	0.8795912265777588	0.8769426345825195	0.2649910151958466	0.1243667677044868	0.6500003337860107	0.5738645195960999	0.5513468980789185	0.2736140191555023	0.2209421098232269	0.4914814233779907	0.8876433372497559	0.3210279047489166	0	0.5218064785003662	0.5756211876869202	0.9094419479370117	0.2384976595640182	0.3616186380386353	0.2872275710105896	0.5086953639984131	0.5608997941017151	0.8731948137283325	0.5148007869720459	0.6566252708435059	0.5913921594619751	0.6320621967315674	0.5797630548477173	0.8670437932014465
L3S341	0.6254231929779053	0.6625001430511475	0.646287739276886	0.6345831751823425	0.6186042428016663	0.6139039397239685	0.6475631594657898	0.6466012001037598	0.438410609960556	0.5029135942459106	0.2421217262744904	0.2218300700187683	0.2718351483345032	0.4471054971218109	0.3769274950027466	0.3977805078029633	0.6595568656921387	0.4513297379016876	0.5218064785003662	0	0.2067453563213348	0.6778693199157715	0.3869224786758423	0.2930665612220764	0.4728885889053345	0.3965646326541901	0.2903739511966705	0.6498432755470276	0.3378788828849792	0.3869293332099915	0.2592898607254028	0.3053972125053406	0.2618856132030487	0.5406423211097717
L3S360	0.636816680431366	0.670430064201355	0.6532269716262817	0.6398497819900513	0.62650465965271	0.630556046962738	0.6545244455337524	0.6428231596946716	0.4335613250732422	0.5432665348052979	0.2043474614620209	0.1618908792734146	0.3536834418773651	0.4601910710334778	0.4122517704963684	0.4902158379554749	0.6537660360336304	0.4293230772018433	0.5756211876869202	0.2067453563213348	0	0.6827866435050964	0.4026020467281342	0.3603312969207764	0.4708019196987152	0.4831501543521881	0.3744828999042511	0.7512794733047485	0.4345111846923828	0.4852035343647003	0.3319322764873505	0.3001189529895782	0.3431951105594635	0.6254980564117432
L3S378	0.1553335934877396	0.06196331232786179	0.116605743765831	0.1450874805450439	0.165259063243866	0.1502302885055542	0.08674947917461395	0.1517477631568909	0.8700832724571228	0.9236452579498291	0.7040318250656128	0.7059547901153564	0.7423309683799744	0.841833233833313	0.8210429549217224	0.8002273440361023	0.163866251707077	0.8723159432411194	0.9094419479370117	0.6778693199157715	0.6827866435050964	0	0.8277201652526855	0.7717183232307434	0.8766263723373413	0.8066056370735168	0.7531824707984924	0.7945006489753723	0.7757800817489624	0.7602327466011047	0.7314098477363586	0.6976515650749207	0.7202178239822388	0.7233327627182007
L4S112	0.7681336402893066	0.8163298368453979	0.7881025671958923	0.7764407396316528	0.747377336025238	0.7651324272155762	0.7965480089187622	0.7934130430221558	0.3100259304046631	0.2659611701965332	0.4776932001113892	0.406901627779007	0.4440573751926422	0.1456327885389328	0.1121169775724411	0.3847037255764008	0.8055666089057922	0.3651714622974396	0.2384976595640182	0.3869224786758423	0.4026020467281342	0.8277201652526855	0	0.2462873309850693	0.2003760933876038	0.4091150164604187	0.4536691904067993	0.7808964252471924	0.4076047837734222	0.5484786629676819	0.4849358797073364	0.5221026539802551	0.4726373255252838	0.7584206461906433
L4S137	0.71037757396698	0.7537957429885864	0.734020471572876	0.722367525100708	0.6929230690002441	0.7000043988227844	0.7414330244064331	0.7400616407394409	0.3830512464046478	0.3389866352081299	0.4488137662410736	0.3548816740512848	0.2984901070594788	0.2964088916778564	0.239228218793869	0.2591476738452911	0.7513198852539062	0.4315054416656494	0.3616186380386353	0.2930665612220764	0.3603312969207764	0.7717183232307434	0.2462873309850693	0	0.3724320232868195	0.249466598033905	0.3078372776508331	0.6489391326904297	0.2468621879816055	0.3809297680854797	0.3384292125701904	0.400844395160675	0.3218472003936768	0.58729088306427
L4S63	0.8138431310653687	0.8605946898460388	0.8380846977233887	0.8263929486274719	0.7972149252891541	0.8148765563964844	0.8462610244750977	0.8419036269187927	0.3086643815040588	0.3151969909667969	0.5170055031776428	0.4331323504447937	0.5253394842147827	0.1860796511173248	0.2190308123826981	0.4570365846157074	0.8542155027389526	0.3889933824539185	0.2872275710105896	0.4728885889053345	0.4708019196987152	0.8766263723373413	0.2003760933876038	0.3724320232868195	0	0.5364403128623962	0.5852434635162354	0.8433554172515869	0.5347459316253662	0.6303765773773193	0.5686712861061096	0.5914121866226196	0.5532760620117188	0.8259007334709167
