	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.8121383786201477	0.82745361328125	0.8347338438034058	0.8476715087890625	0.8447024822235107	0.8534725904464722	0.8387384414672852	0.837827205657959	0.4055725634098053	0.3421208560466766	0	0.3678004145622253	0.7268955111503601	0.369316965341568	0.625354528427124	0.6893085241317749	0.8315641283988953	0.4141967296600342	0.5812268257141113	0.5505301952362061	0.4374892711639404	0.8106058239936829	0.3841703534126282	0.6719462871551514	0.5334686040878296	0.745400071144104	0.7623216509819031	0.7715931534767151	0.7252151966094971	0.7557750344276428	0.7579464912414551	0.7420035004615784	0.7489138841629028	0.7382277250289917
L2S222	0.8158627152442932	0.8411107659339905	0.8438295125961304	0.8622415065765381	0.8532315492630005	0.8678173422813416	0.8530429601669312	0.8538526296615601	0.4490272700786591	0.3934049904346466	0.3678004145622253	0	0.7165583372116089	0.4173713624477386	0.6349037289619446	0.6472452282905579	0.8490312695503235	0.4660894274711609	0.6052343249320984	0.5933288931846619	0.4429792761802673	0.824598491191864	0.4001071155071259	0.6674418449401855	0.5079436302185059	0.7601975798606873	0.7658995389938354	0.7700574994087219	0.7286207675933838	0.7587631940841675	0.7522792220115662	0.7512446045875549	0.7429094910621643	0.7497661709785461
L2S240	0.7032182216644287	0.6874374151229858	0.74178147315979	0.782240629196167	0.7770740985870361	0.7787256836891174	0.7593995332717896	0.7369412183761597	0.679848313331604	0.6475405693054199	0.7268955111503601	0.7165583372116089	0	0.6749101877212524	0.5265673995018005	0.5425340533256531	0.7052875757217407	0.5840920209884644	0.4560109078884125	0.4976193606853485	0.6935192346572876	0.6529066562652588	0.6768873333930969	0.5139926671981812	0.7597740888595581	0.2681176662445068	0.3083355128765106	0.2742398679256439	0.3013544976711273	0.2409735918045044	0.2340816706418991	0.2888962626457214	0.2265290915966034	0.3611704111099243
L2S309	0.7519202828407288	0.7759535908699036	0.7990712523460388	0.8045587539672852	0.8040400147438049	0.7996089458465576	0.8030729293823242	0.773750364780426	0.3586807250976562	0.2854245901107788	0.369316965341568	0.4173713624477386	0.6749101877212524	0	0.5439087748527527	0.64194655418396	0.7721061706542969	0.347107470035553	0.5607836246490479	0.5542252659797668	0.3690842092037201	0.7410667538642883	0.3039925396442413	0.6379929780960083	0.4725325107574463	0.6882030963897705	0.7021680474281311	0.7212165594100952	0.665550708770752	0.6962798237800598	0.6981925964355469	0.709242582321167	0.6951625943183899	0.6917470097541809
L2S357	0.7315669655799866	0.7226032018661499	0.7318683266639709	0.7481844425201416	0.7534782290458679	0.7472042441368103	0.7203203439712524	0.6972824931144714	0.6464847326278687	0.5697199702262878	0.625354528427124	0.6349037289619446	0.5265673995018005	0.5439087748527527	0	0.5660690069198608	0.6619475483894348	0.5931867361068726	0.4207850396633148	0.3774978518486023	0.6093689203262329	0.6800863146781921	0.5617187023162842	0.5228585004806519	0.7108252644538879	0.5283344984054565	0.5517233610153198	0.5952242016792297	0.4914643466472626	0.5463607907295227	0.5465549826622009	0.5660033822059631	0.5461152791976929	0.5404974818229675
L2S382	0.7902745008468628	0.794623076915741	0.816929042339325	0.8456104397773743	0.8388209939002991	0.8528685569763184	0.8378846645355225	0.8254255056381226	0.6555644869804382	0.609109103679657	0.6893085241317749	0.6472452282905579	0.5425340533256531	0.64194655418396	0.5660690069198608	0	0.8137672543525696	0.6519501209259033	0.5564467310905457	0.571399450302124	0.7172881364822388	0.7758474946022034	0.6344004273414612	0.3137897253036499	0.7207290530204773	0.605235755443573	0.6371148228645325	0.5853258371353149	0.5573999285697937	0.6014135479927063	0.6138501167297363	0.5717021226882935	0.5690362453460693	0.5220484733581543
L3S242	0.5105558633804321	0.5217453241348267	0.5543487668037415	0.5527235865592957	0.5297198295593262	0.4089913666248322	0.4415740668773651	0.1528014838695526	0.8286790251731873	0.8128283619880676	0.8315641283988953	0.8490312695503235	0.7052875757217407	0.7721061706542969	0.6619475483894348	0.8137672543525696	0	0.806038498878479	0.6966262459754944	0.7017267942428589	0.8015478849411011	0.4207330644130707	0.8229848146438599	0.7976078391075134	0.8780717849731445	0.6562554240226746	0.6454973220825195	0.6976096630096436	0.6874123215675354	0.6766354441642761	0.6393360495567322	0.6836305260658264	0.6751418709754944	0.6950787305831909
L3S294	0.809628963470459	0.8008741140365601	0.8320239782333374	0.8499534726142883	0.8495741486549377	0.8541732430458069	0.8417372703552246	0.8233554363250732	0.3713157773017883	0.3092550039291382	0.4141967296600342	0.4660894274711609	0.5840920209884644	0.347107470035553	0.5931867361068726	0.6519501209259033	0.806038498878479	0	0.5399406552314758	0.5639126896858215	0.3165956139564514	0.7738324403762817	0.4005425572395325	0.6026316285133362	0.5723661184310913	0.6488690972328186	0.6531673669815063	0.663945198059082	0.6422851085662842	0.6409914493560791	0.6489013433456421	0.6665324568748474	0.6546453833580017	0.6755101680755615
L3S313	0.6888459324836731	0.6962246298789978	0.7469940185546875	0.7701184749603271	0.7704294323921204	0.7752053737640381	0.7520959973335266	0.7268422842025757	0.5547900795936584	0.4714303314685822	0.5812268257141113	0.6052343249320984	0.4560109078884125	0.5607836246490479	0.4207850396633148	0.5564467310905457	0.6966262459754944	0.5399406552314758	0	0.3605006337165833	0.6320741176605225	0.6664527058601379	0.5942592620849609	0.4955179989337921	0.6926072835922241	0.4971460402011871	0.5087693333625793	0.5546046495437622	0.5042743682861328	0.5101134777069092	0.5044916868209839	0.5517290234565735	0.5218654870986938	0.5461700558662415
L3S341	0.6812971234321594	0.7074957489967346	0.7321256995201111	0.7506645917892456	0.751798152923584	0.7488357424736023	0.7241066098213196	0.7108806967735291	0.6088559031486511	0.5226912498474121	0.5505301952362061	0.5933288931846619	0.4976193606853485	0.5542252659797668	0.3774978518486023	0.571399450302124	0.7017267942428589	0.5639126896858215	0.3605006337165833	0	0.5938379168510437	0.6548957228660583	0.5359467267990112	0.5039633512496948	0.6987378001213074	0.523026168346405	0.5218987464904785	0.5658682584762573	0.4836397767066956	0.5411091446876526	0.5174840092658997	0.5434393882751465	0.5485060214996338	0.5336431264877319
