	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.9841269841269841	0.9846153846153847	0.9868421052631579	0.9856115107913669	0.9929577464788732	0.9849624060150376	0.9834710743801653	0.9727272727272728	0.8226950354609929	0.7709923664122137	0.0	0.7407407407407407	0.9532710280373832	0.7663551401869159	0.7722772277227723	0.9273743016759777	0.9791666666666666	0.8020833333333334	0.77	0.7263157894736842	0.8256880733944955	0.9906542056074766	0.7898089171974523	0.9058823529411765	0.772972972972973	0.9696969696969697	0.979381443298969	0.9805825242718447	0.9607843137254902	0.9591836734693877	0.9690721649484536	0.9722222222222222	0.9532710280373832	0.9572649572649573
L2S222	0.9767441860465116	0.9830508474576272	0.9849246231155779	0.9838709677419355	0.9840425531914894	0.988950276243094	0.9821428571428571	0.9810126582278481	0.8176795580110497	0.7777777777777778	0.7407407407407407	0.0	0.961038961038961	0.8387096774193549	0.8609271523178808	0.9090909090909091	0.9861111111111112	0.8758620689655172	0.8125	0.8503401360544217	0.7428571428571429	0.987012987012987	0.797979797979798	0.8909952606635071	0.7442922374429224	0.9795918367346939	0.9791666666666666	0.98	0.9594594594594594	0.9655172413793104	0.9722222222222222	0.9741935483870968	0.954248366013072	0.9570552147239264
L2S240	1.0	0.9885057471264368	0.9814814814814815	1.0	1.0	1.0	1.0	0.9852941176470589	0.9009009009009009	0.875	0.9532710280373832	0.961038961038961	0.0	0.9	0.8732394366197183	0.9117647058823529	0.9615384615384616	0.890625	0.8208955223880597	0.9305555555555556	0.975609756097561	0.967741935483871	0.8854961832061069	0.873015873015873	0.9235294117647059	0.5853658536585366	0.5897435897435898	0.5121951219512195	0.6521739130434783	0.55	0.4	0.5434782608695652	0.5833333333333334	0.631578947368421
L2S309	0.9702970297029703	0.9615384615384616	0.96	0.9459459459459459	0.956140350877193	0.9626168224299065	0.96875	0.9770114942528736	0.8067226890756303	0.7767857142857143	0.7663551401869159	0.8387096774193549	0.9	0.0	0.7341772151898734	0.8874172185430463	0.9577464788732394	0.8181818181818182	0.8072289156626506	0.8024691358024691	0.8314606741573034	0.95	0.7883211678832117	0.8591549295774648	0.7771084337349398	0.9459459459459459	0.9285714285714286	0.948051948051948	0.9066666666666666	0.9166666666666666	0.9142857142857143	0.9390243902439024	0.9135802469135802	0.9111111111111111
L2S357	0.967741935483871	0.9690721649484536	0.9747899159663865	0.9716981132075472	0.981651376146789	0.97	0.9659090909090909	0.948051948051948	0.7818181818181819	0.794392523364486	0.7722772277227723	0.8609271523178808	0.8732394366197183	0.7341772151898734	0.0	0.8652482269503546	0.9354838709677419	0.7794117647058824	0.7534246575342466	0.7464788732394366	0.8837209302325582	0.972972972972973	0.6833333333333333	0.7874015748031497	0.7888198757763976	0.8888888888888888	0.9016393442622951	0.9104477611940298	0.8615384615384616	0.8709677419354839	0.8852459016393442	0.9027777777777778	0.8571428571428571	0.875
L2S382	0.9938650306748467	0.9940119760479041	0.9947089947089947	0.9943181818181818	1.0	1.0	1.0	0.9932432432432432	0.8457142857142858	0.8411764705882353	0.9273743016759777	0.9090909090909091	0.9117647058823529	0.8874172185430463	0.8652482269503546	0.0	0.9848484848484849	0.8814814814814815	0.8561151079136691	0.9246575342465754	0.935064935064935	0.993006993006993	0.8350515463917526	0.5859872611464968	0.8949579831932774	0.9133858267716536	0.9285714285714286	0.9318181818181818	0.8992248062015504	0.9302325581395349	0.9291338582677166	0.9111111111111111	0.9037037037037037	0.8633093525179856
L3S242	0.7719298245614035	0.8615384615384616	0.8837209302325582	0.9078947368421053	0.8961038961038961	0.8333333333333334	0.8181818181818182	0.5526315789473685	0.9714285714285714	0.97	0.9791666666666666	0.9861111111111112	0.9615384615384616	0.9577464788732394	0.9354838709677419	0.9848484848484849	0.0	0.9821428571428571	0.9516129032258065	0.95	1.0	0.8095238095238095	0.9767441860465116	0.9841269841269841	0.9880239520958084	0.926829268292683	0.9210526315789473	0.9555555555555556	0.9565217391304348	0.9523809523809523	0.95	0.9607843137254902	0.9615384615384616	0.967741935483871
L3S294	1.0	0.9888888888888889	0.9910714285714286	0.98989898989899	1.0	1.0	1.0	0.9859154929577465	0.75	0.7878787878787878	0.8020833333333334	0.8758620689655172	0.890625	0.8181818181818182	0.7794117647058824	0.8814814814814815	0.9821428571428571	0.0	0.7384615384615385	0.8405797101449275	0.8987341772151899	0.9848484848484849	0.8538461538461538	0.8492063492063492	0.8795180722891566	0.9298245614035088	0.9642857142857143	0.9508196721311475	0.8983050847457628	0.9107142857142857	0.9464285714285714	0.9552238805970149	0.9242424242424242	0.92
L3S313	0.9560439560439561	0.96875	0.9831932773109243	0.9811320754716981	0.9908256880733946	0.98	0.9772727272727273	0.961038961038961	0.7211538461538461	0.6236559139784946	0.77	0.8125	0.8208955223880597	0.8072289156626506	0.7534246575342466	0.8561151079136691	0.9516129032258065	0.7384615384615385	0.0	0.7945205479452054	0.8823529411764706	0.9864864864864865	0.8015267175572519	0.7952755905511811	0.8383233532934131	0.85	0.8620689655172413	0.875	0.859375	0.85	0.864406779661017	0.9014084507042254	0.8873239436619719	0.8875
L3S341	0.978021978021978	1.0	1.0	0.9904761904761905	1.0	0.98989898989899	0.9885057471264368	0.987012987012987	0.8198198198198198	0.7884615384615384	0.7263157894736842	0.8503401360544217	0.9305555555555556	0.8024691358024691	0.7464788732394366	0.9246575342465754	0.95	0.8405797101449275	0.7945205479452054	0.0	0.8518518518518519	0.971830985915493	0.7698412698412699	0.8731343283582089	0.8502994011976048	0.953125	0.967741935483871	0.9705882352941176	0.9242424242424242	0.9365079365079365	0.9516129032258065	0.958904109589041	0.9154929577464789	0.9125
