	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S357	0.9866504854368932	0.991504854368932	0.9902912621359223	0.991504854368932	0.9939320388349514	0.9866504854368932	0.9866504854368932	0.9817961165048543	0.6856796116504854	0.5351941747572816	0.6650485436893204	0.8398058252427184	0.8240291262135923	0.4186893203883495	0.0	0.7330097087378641	0.9817961165048543	0.7220873786407767	0.4817961165048544	0.5546116504854369	0.7597087378640777	0.9951456310679612	0.27548543689320387	0.6104368932038835	0.5303398058252428	0.8155339805825242	0.8555825242718447	0.8847087378640777	0.8422330097087378	0.8810679611650486	0.8118932038834952	0.8567961165048543	0.8009708737864077	0.8216019417475728
L2S382	0.9975728155339806	0.9975728155339806	0.9963592233009708	0.9975728155339806	1.0	1.0	1.0	0.9951456310679612	0.787621359223301	0.7402912621359223	0.8980582524271845	0.8810679611650486	0.8677184466019418	0.7427184466019418	0.7330097087378641	0.0	0.9902912621359223	0.8616504854368932	0.7560679611650486	0.8252427184466019	0.8774271844660194	0.9963592233009708	0.7002427184466019	0.5182038834951457	0.8131067961165048	0.8216019417475728	0.8628640776699029	0.8944174757281553	0.8398058252427184	0.8859223300970874	0.8580097087378641	0.8847087378640777	0.8349514563106796	0.8240291262135923
L3S242	0.4890776699029126	0.7111650485436893	0.8216019417475728	0.8531553398058253	0.883495145631068	0.39805825242718446	0.39684466019417475	0.1553398058252427	0.9878640776699029	0.9854368932038835	0.9902912621359223	0.9902912621359223	0.9902912621359223	0.9830097087378641	0.9817961165048543	0.9902912621359223	0.0	0.9951456310679612	0.9842233009708737	0.970873786407767	1.0	0.7378640776699029	0.9842233009708737	0.9902912621359223	0.991504854368932	0.9842233009708737	0.9890776699029126	0.9902912621359223	0.9902912621359223	0.991504854368932	0.9902912621359223	0.9902912621359223	0.9902912621359223	0.9902912621359223
L3S294	1.0	0.9975728155339806	0.9963592233009708	0.9975728155339806	1.0	1.0	1.0	0.9951456310679612	0.3434466019417476	0.6735436893203883	0.8288834951456311	0.8434466019417476	0.9368932038834952	0.741504854368932	0.7220873786407767	0.8616504854368932	0.9951456310679612	0.0	0.6225728155339806	0.8179611650485437	0.8871359223300971	0.9963592233009708	0.7427184466019418	0.8228155339805825	0.7366504854368932	0.9393203883495146	0.9514563106796117	0.9490291262135923	0.9308252427184466	0.9453883495145631	0.9490291262135923	0.9502427184466019	0.9368932038834952	0.9344660194174758
L3S313	0.9854368932038835	0.9890776699029126	0.9939320388349514	0.9951456310679612	0.9975728155339806	0.991504854368932	0.991504854368932	0.9866504854368932	0.5776699029126213	0.32160194174757284	0.8203883495145631	0.808252427184466	0.8410194174757282	0.5194174757281553	0.4817961165048544	0.7560679611650486	0.9842233009708737	0.6225728155339806	0.0	0.7451456310679612	0.8628640776699029	0.9963592233009708	0.49514563106796117	0.6929611650485437	0.6140776699029126	0.7949029126213593	0.8058252427184466	0.8640776699029126	0.8179611650485437	0.8701456310679612	0.8446601941747572	0.8883495145631068	0.8543689320388349	0.8762135922330098
L3S341	0.9866504854368932	1.0	1.0	0.9975728155339806	1.0	0.9878640776699029	0.9878640776699029	0.9878640776699029	0.7742718446601942	0.7050970873786407	0.4429611650485437	0.8143203883495146	0.8932038834951457	0.7002427184466019	0.5546116504854369	0.8252427184466019	0.970873786407767	0.8179611650485437	0.7451456310679612	0.0	0.7293689320388349	0.9842233009708737	0.587378640776699	0.7815533980582524	0.7305825242718447	0.8992718446601942	0.9053398058252428	0.9259708737864077	0.8932038834951457	0.912621359223301	0.8822815533980582	0.9174757281553398	0.8580097087378641	0.8652912621359223
L3S360	1.0	0.9842233009708737	0.9842233009708737	0.9817961165048543	0.9842233009708737	1.0	1.0	1.0	0.8446601941747572	0.8410194174757282	0.7245145631067961	0.5254854368932039	0.9381067961165048	0.779126213592233	0.7597087378640777	0.8774271844660194	1.0	0.8871359223300971	0.8628640776699029	0.7293689320388349	0.0	0.9805825242718447	0.7439320388349514	0.8628640776699029	0.7560679611650486	0.9575242718446602	0.9550970873786407	0.9575242718446602	0.9478155339805825	0.9550970873786407	0.9320388349514563	0.9368932038834952	0.9344660194174758	0.933252427184466
L3S378	0.7390776699029126	0.27427184466019416	0.39441747572815533	0.5	0.44660194174757284	0.7560679611650486	0.7645631067961165	0.7366504854368932	0.9927184466019418	0.9963592233009708	0.9963592233009708	0.9902912621359223	0.9939320388349514	0.9660194174757282	0.9951456310679612	0.9963592233009708	0.7378640776699029	0.9963592233009708	0.9963592233009708	0.9842233009708737	0.9805825242718447	0.0	0.9963592233009708	0.9963592233009708	0.9963592233009708	0.9963592233009708	0.9951456310679612	0.9963592233009708	0.9939320388349514	0.9963592233009708	0.9902912621359223	0.9951456310679612	0.9963592233009708	0.9951456310679612
L4S112	0.9890776699029126	0.9939320388349514	0.9927184466019418	0.9939320388349514	0.9963592233009708	0.9902912621359223	0.9902912621359223	0.9854368932038835	0.6941747572815534	0.5024271844660194	0.7111650485436893	0.7815533980582524	0.8252427184466019	0.41262135922330095	0.27548543689320387	0.7002427184466019	0.9842233009708737	0.7427184466019418	0.49514563106796117	0.587378640776699	0.7439320388349514	0.9963592233009708	0.0	0.5837378640776699	0.5133495145631068	0.8021844660194175	0.8422330097087378	0.8725728155339806	0.8264563106796117	0.8701456310679612	0.8240291262135923	0.8616504854368932	0.8106796116504854	0.8300970873786407
L4S137	0.9939320388349514	0.9939320388349514	0.9963592233009708	0.9975728155339806	1.0	1.0	1.0	0.9951456310679612	0.7548543689320388	0.6298543689320388	0.8774271844660194	0.8652912621359223	0.8021844660194175	0.6274271844660194	0.6104368932038835	0.5182038834951457	0.9902912621359223	0.8228155339805825	0.6929611650485437	0.7815533980582524	0.8628640776699029	0.9963592233009708	0.5837378640776699	0.0	0.7524271844660194	0.7803398058252428	0.8252427184466019	0.8543689320388349	0.8046116504854369	0.8434466019417476	0.7973300970873787	0.8361650485436893	0.7742718446601942	0.7742718446601942
